,Bank Name,Job Title,URL (URL of the job posting),FinTech Score,Non-Fintech Score,Admin_Clerical_HR - Sheet1,Audit and Finance,Business Intelligence and Analysis,Data Analytics and Machine Learning,"Marketing , Sales and management",Network and Cyber Security,Softwrae Development,_Investment and risk management__ - Sheet1
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:This position will be a member of the Global Information Security (GIS) Global Risk and Compliance (GRC) /Governance and Policy organization which is responsible for managing the GIS Governance and Policy Ecosystem",supporting risk and issues management,governance,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:This position will be a member of the Global Information Security (GIS) Global Risk and Compliance (GRC) /Governance and Policy organization which is responsible for managing the GIS Governance and Policy Ecosystem",supporting risk and issues management,governance,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",youâ€™ll consider a clientâ€™s entire,complex financial picture,0,1,0,0,0,0,1,0,0,0
0,"Bank Of America	""Job Description:Located in a financial center",weâ€™re guided by a common purpose to help make financial lives better by connecting clients and communities to the resources they need to be successful. Make a difference where it counts by joining our Financial Center team at Bank of America. Weâ€™re looking for relationship managers (RMs) â€“ those with a passion for helping people and the drive to build relationships to make clientsâ€™ financial lives better. That means understanding clientsâ€™ financial needs,offering appropriate solutions and connecting clients with specialists.Â As part of the Bank of America team,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Participates in design",often using new technologies and emergingÂ  methodologies. Serves as a fully seasoned/proficient technical resource. Manages multiple,moderately complex projects and direct activities of a team related to special initiatives or operations. Routine accountability is for technical knowledge and capabilities as a team member or as an individual contributor. Works under minimal supervision,1,0,0,0,0,0,0,1,0,0
0,"Bank Of America	""Job Description:Participates in design",often using new technologies and emergingÂ  methodologies. Serves as a fully seasoned/proficient technical resource. Manages multiple,moderately complex projects and direct activities of a team related to special initiatives or operations. Routine accountability is for technical knowledge and capabilities as a team member or as an individual contributor. Works under minimal supervision,1,0,0,0,0,0,0,1,0,0
0,"Bank Of America	""Job Description:Sr Content Strategist",weâ€™re guided by a common purpose: to help make financial lives better by connecting clients and communities to the resources they need to be successful. Bank of Americaâ€™s Experience Design team includes interaction designers,graphic designers,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Manages teams that are responsible for performing data management",analytical support on various product strategies to ensure company goals are met. Coordinates the production of databases,performance reports for senior mgt. Manages the review and analysis of trends in current population distributions and recommends strategies. Directs the development of more complex databases,1,4,0,1,1,0,1,0,1,1
0,"Bank Of America	""Job Description:This candidate will be support the COMIT (Technology Allocation Sub-Ledger) technology allocation reporting process and tools",the teammate will work closely with Technology Finance teams to assist with updating and use of COMIT," on a wide variety of recurring and ad hoc projects. Â  Â This role requires strong data management and process management. Â  Recurring deliverable s typically require action under tight timelines.Required Skills:""	sr-finance-analyst--business-support	http://careers.bankofamerica.com/job-detail/19003069/united-states/us/sr-finance-analyst--business-support",1,0,0,0,0,0,0,0,1,0
0,"Bank Of America	""Job Description:The Initiatives Manager is responsible for managing complex dependencies across products",roll out of new platforms,technologies or cross-asset regulatory changes. These large-scale programs are typically delivered over multiple years.Initiative Managers will have extensive background in Program Management,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:This role is an entry level loan processing role. Associate will process loans approved by an Underwriter or an automated decisioning system. The HSS I is responsible for",verifying conditions of approval which may include customer income/assets documentation. The HSS I will resolve routine title issues including,but not limited to the following: vesting issues,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Few things impact peopleâ€™s lives as much as their finances. Make a difference where it counts by joining our industry-leading wealth management team at Bank of America and Merrill Lynch. Weâ€™re looking for the next generation of financial advisorsâ€”those with a passion for people and drive to build a business that makes their financial lives better. Going beyond portfolios and investment strategies",complex financial picture,and then guide them with advice and solutions to help them live their best financial lives.The Advisor Development Program will help you get the necessary training and guidance along a defined path to become the financial advisor you want to be. From marketing yourself to managing a practice,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Develops",debugs,supports,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Global Collateral - Ops Sr Analyst",provides technical and analytical support in a global markets operations support function for one or more operations product areas. Uses established techniques to analyze and resolve complex operations support problems/initiatives requiring exception handling and/or coordination of multiple operational and/or product/services specialists to resolve. May assist in managing projects and/or introduction of new initiatives,systems,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Business OverviewMerrill Lynch Wealth Management is a leading provider of comprehensive wealth management and investment products and services for individuals",and institutions. Merrill Lynch wealth management is one of the largest businesses of its kind in the world specializing in goals-based wealth management,including planning for retirement,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Member of the Custom Lending team which provides credit expertise for Financial Advisors in the UHNW market delivering complex lending solutions. Works with the senior members of the team and Merrill Lynch Private Banking Investment Group (PBIG) and Advisory to grow Custom Lending revenue through marketing efforts and deal support/management. Position will be responsible for the loan renewal process and portfolio servicing.The Custom Credit Executive is a product advocate for credit in a large geographic region. Originates sound new business through Financial Advisors. Provides credit direction",and approval for strategically important clients. Leads credit product to targets. Delivers credit strategy for the region to clients. Understands market differences within region and coordinates best practices in terms of delivering thoughtful credit solutions. Works closely with clients and Advisors to define and deliver the best alternatives. Critical link to centralized underwriting and approval process. Accountable to asset quality and financial plan for the region.Â  Requirements:Â â€¢ Familiarity with cash flow credit skills and related market influences (profiling,structuring,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Member of the Custom Lending team which provides credit expertise for Financial Advisors in the UHNW market delivering complex lending solutions. Works with the senior members of the team and Merrill Lynch Private Banking Investment Group (PBIG) and Advisory to grow Custom Lending revenue through marketing efforts and deal support/management. Position will be responsible for the loan renewal process and portfolio servicing.The Custom Credit Executive is a product advocate for credit in a large geographic region. Originates sound new business through Financial Advisors. Provides credit direction",and approval for strategically important clients. Leads credit product to targets. Delivers credit strategy for the region to clients. Understands market differences within region and coordinates best practices in terms of delivering thoughtful credit solutions. Works closely with clients and Advisors to define and deliver the best alternatives. Critical link to centralized underwriting and approval process. Accountable to asset quality and financial plan for the region.Â  Requirements:Â â€¢ Familiarity with cash flow credit skills and related market influences (profiling,structuring,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Member of the Custom Lending team which provides credit expertise for Financial Advisors in the UHNW market delivering complex lending solutions. Works with the senior members of the team and Merrill Lynch Private Banking Investment Group (PBIG) and Advisory to grow Custom Lending revenue through marketing efforts and deal support/management. Position will be responsible for the loan renewal process and portfolio servicing.The Custom Credit Executive is a product advocate for credit in a large geographic region. Originates sound new business through Financial Advisors. Provides credit direction",and approval for strategically important clients. Leads credit product to targets. Delivers credit strategy for the region to clients. Understands market differences within region and coordinates best practices in terms of delivering thoughtful credit solutions. Works closely with clients and Advisors to define and deliver the best alternatives. Critical link to centralized underwriting and approval process. Accountable to asset quality and financial plan for the region.Â  Requirements:Â â€¢ Familiarity with cash flow credit skills and related market influences (profiling,structuring,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Manages a function or unit within the technology environment. Manages associates and makes all decisions on personnel actions including staffing",modification and problem resolution to support ongoing delivery of services and/or operations. Manages multiple applications/ development projects,or single major complex initiatives if a small area of the development function. Coordinates resources across various applications,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Manages diverse administrative functions usually for a very large",often requiring associates in one or more location. Functions managed may include: financial control/budgeting and consolidation,personnel processes,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Financial Center Client Service Representative I s FC CSR I are responsible for providing a positive customer experience that leads to improved satisfaction and sales. FC CSR I s process transactions accurately and efficiently in a fast-paced environment while simultaneously introducing products and services that meet the customersâ€™ needs and encouraging customers to expand their relationship with Bank of America. This position was previously known as the Teller position within the Financial Center. Duties may include",personalized service,b) Listen carefully and connect with customers to understand their top financial priorities and to uncover products and solutions that will benefit them,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",in supporting the financial center manager,to create a client-centric culture to improve clientsâ€™ financial lives.Â As part of the Bank of America team,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Line of Business Position Description and Responsibilities: The SBCM on the Program Team (also known as the Relationship Manager) is an inside sales position and works closely with the Programs Regional Business Development Officer (RBDO) while being accountable for the sales execution of the CORE Programs. Once new business relationships have been identified and established by the RBDO",designs and implements appropriate sales programs for the customer,collects and prepares the financial package for submission to underwriting for approval and closes the loans. This position will also assist in driving initiatives around delivering the Enterprise through a programmatic approach to the business owners. The RM should possess prospecting skills and a winning telephonic personality because duties are performed primarily by phone.Â  In addition,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Commercial Support Specialist (CSS) serves as the Customer Due Diligence (CDD) and Compliance Risk partner forÂ Relationship Managers in the management of their portfolio.Â The primary responsibility of the role is to manage the Customer Due Diligence processes by ensuring timely and accurate compliance to policy and regulatory requirements related to Anti-Money Laundering and related Know-Your-Client activities. The CSS will execute national and regional initiatives",KYC/AML onboarding,and record refresh and remediation projects. They will also manage risk activities related to wires,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Financial Center Client Service Representative I s FC CSR I are responsible for providing a positive customer experience that leads to improved satisfaction and sales. FC CSR I s process transactions accurately and efficiently in a fast-paced environment while simultaneously introducing products and services that meet the customersâ€™ needs and encouraging customers to expand their relationship with Bank of America. This position was previously known as the Teller position within the Financial Center. Duties may include",personalized service,b) Listen carefully and connect with customers to understand their top financial priorities and to uncover products and solutions that will benefit them,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",offering appropriate solutions and connecting clients with specialists.Â As part of the Bank of America team,RMs have access to industry leading products and services and a team of dedicated product specialists â€“ all designed to meet the unique life priorities of our clients. RMs benefit from personal coaching,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",fostering a team environment and instilling a client-centric culture to make clientsâ€™ financial lives better.Â As part of the Bank of America team,FCMs benefit from personal coaching,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:U.S. Trust Private Client Associate Business Overview:U.S. Trust",investment management,banking and credit needs. Clients are served by teams of experienced advisors offering a range of financial products and services,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",fostering a team environment and instilling a client-centric culture to make clientsâ€™ financial lives better.Â As part of the Bank of America team,FCMs benefit from personal coaching,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",client service representatives (CSRs) go beyond processing transactions â€“ youâ€™ll build relationships with clients to understand their financial goals,identify solutions that will benefit them and connect them to the appropriate teammate who can provide education and solutions to help them live their best financial lives. CSRs work in a financial center and report to the financial center manager.Weâ€™ll help youâ€¢ Get training and one-on-one coaching from your manager who is invested in your success. Youâ€™ll enroll in our Academy for Consumer and Small Business to develop as a client service representative.â€¢ Learn core banking solutions and processes. Understand solutions we provide through Bank of America and how to process transactions such as client deposits and cashing checks accurately.â€¢ Grow your network to maximize effectiveness in meeting client needs. Cultivate relationships with teammates and specialists to assist clients with inquiries and/or problem resolution.â€¢ Provide education to clients. Inform and educate clients on how to conduct simple transactions through convenient banking options,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Job Description:Collections & Recovery is on a quest to use data as their biggest asset.Â  In this journey"," and the right candidate must be comfortable interacting with and influencing people at all levels across the organization.Â  All candidates must be comfortable working in the """"grey"""" and enjoy """"digging in"""" to drive clarity on the problems we wish to solve and the best way to solve them.Â Requirements:Desired Skills:Enterprise Role Overview:Responsible for the definition",stewardship,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",modifying and/or maintaining applications in the Global Markets environment. Software developers design,code,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Storage Capacity planner.Responsible for large scale enterprise storage capacity management (SAN/NAS/CAS)",new allocations and storage demand forecasting. Distributed storage capacity management for datacenter migrations,new projects and growth allocations. Create technology capacity requests,1,0,0,0,0,0,0,0,1,0
0,"Bank Of America	""Job Description:Associate is accountable for providing quality customer service support within their business unit for some Advisory",retirement and brokerage account products/ service features through inbound calls or emails utilizing professional oral,written and problem solving skills. Accountabilities include but are not limited to providing account balances and activity,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",modifying and/or maintaining applications in the Global Markets environment. Software developers design,code,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Responsible for developing",code,test,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Sr. Benefits Consultant is responsible for executing on the overall Benefits Strategy and driving all aspects of the design of benefit programs that support the health and wellness of employees and their family members",market trends and business needs in order to evaluate cost effectiveness and usage of existing programs to design recommended improvements or develop program business cases and design of new programs. The role includes supporting the implementation of programs and communication to eligible individuals. Experience managing multiple work products simultaneously,strong communication skills,0,1,0,0,1,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",client service representatives (CSRs) go beyond processing transactions â€“ youâ€™ll build relationships with clients to understand their financial goals,identify solutions that will benefit them and connect them to the appropriate teammate who can provide education and solutions to help them live their best financial lives. CSRs work in a financial center and report to the financial center manager.Weâ€™ll help youâ€¢ Get training and one-on-one coaching from your manager who is invested in your success. Youâ€™ll enroll in our Academy for Consumer and Small Business to develop as a client service representative.â€¢ Learn core banking solutions and processes. Understand solutions we provide through Bank of America and how to process transactions such as client deposits and cashing checks accurately.â€¢ Grow your network to maximize effectiveness in meeting client needs. Cultivate relationships with teammates and specialists to assist clients with inquiries and/or problem resolution.â€¢ Provide education to clients. Inform and educate clients on how to conduct simple transactions through convenient banking options,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Financial Center Client Service Representative I s FC CSR I are responsible for providing a positive customer experience that leads to improved satisfaction and sales. FC CSR I s process transactions accurately and efficiently in a fast-paced environment while simultaneously introducing products and services that meet the customersâ€™ needs and encouraging customers to expand their relationship with Bank of America. This position was previously known as the Teller position within the Financial Center. Duties may include",personalized service,b) Listen carefully and connect with customers to understand their top financial priorities and to uncover products and solutions that will benefit them,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",client service representatives (CSRs) go beyond processing transactions â€“ youâ€™ll build relationships with clients to understand their financial goals,identify solutions that will benefit them and connect them to the appropriate teammate who can provide education and solutions to help them live their best financial lives. CSRs work in a financial center and report to the financial center manager.Weâ€™ll help youâ€¢ Get training and one-on-one coaching from your manager who is invested in your success. Youâ€™ll enroll in our Academy for Consumer and Small Business to develop as a client service representative.â€¢ Learn core banking solutions and processes. Understand solutions we provide through Bank of America and how to process transactions such as client deposits and cashing checks accurately.â€¢ Grow your network to maximize effectiveness in meeting client needs. Cultivate relationships with teammates and specialists to assist clients with inquiries and/or problem resolution.â€¢ Provide education to clients. Inform and educate clients on how to conduct simple transactions through convenient banking options,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",client service representatives (CSRs) go beyond processing transactions â€“ youâ€™ll build relationships with clients to understand their financial goals,identify solutions that will benefit them and connect them to the appropriate teammate who can provide education and solutions to help them live their best financial lives. CSRs work in a financial center and report to the financial center manager.Weâ€™ll help youâ€¢ Get training and one-on-one coaching from your manager who is invested in your success. Youâ€™ll enroll in our Academy for Consumer and Small Business to develop as a client service representative.â€¢ Learn core banking solutions and processes. Understand solutions we provide through Bank of America and how to process transactions such as client deposits and cashing checks accurately.â€¢ Grow your network to maximize effectiveness in meeting client needs. Cultivate relationships with teammates and specialists to assist clients with inquiries and/or problem resolution.â€¢ Provide education to clients. Inform and educate clients on how to conduct simple transactions through convenient banking options,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Accountable for the development",customer satisfaction and continuous process improvements. Works closely with the business executive or deployment champions and MBB. May be Green Belt or Black Belt certified. May be responsible for managing,training and developing associates on the team.The Consumer Academy is a key driver for training associates how to deliver a world-class customer experience.Â  The Merrill Edge Academy â€“ Process Design Consultant is a leader to represent the Merrill Edge Academy for the Registered Financial Center training curriculum.Â Â  The position plays a critical role in developing and implementing business strategy by managing platform development initiatives from idea creation,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Position SummaryThe Fraud Technology team is looking for a mid to senior level Business Analyst. Requirements include 4-6 years of experience (preferably in the financial industry)",replacing and consolidating many legacy applications.As an BA you will work closely with business and technology partners to deliver solutions. Candidates must possess advanced problem solving skills,the willingness to learn and ability to effectively and concisely communicate verbally and in written/presentation format. You must work well in a supportive and transparent team environment,0,2,0,1,1,0,0,0,0,0
0,"Bank Of America	""Job Description:Business OverviewMerrill Lynch Wealth Management is a leading provider of comprehensive wealth management and investment products and services for individuals",and institutions. Merrill Lynch wealth management is one of the largest businesses of its kind in the world specializing in goals-based wealth management,including planning for retirement,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Essential Functions:Incumbent is responsible for supporting the Syndications team within BAL to include:This position is posted as a Senior Leasing Syndications Support Specialist",finance,economics,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:The Wholesale Credit Data team is part of the Global Banking organization. The primary focus of the Data Management team is to produce and communicate simplified",including platforms,reporting,0,2,0,0,1,0,0,0,0,1
0,"Bank Of America	""Job Description:Financial Center Client Service Representative I s FC CSR I are responsible for providing a positive customer experience that leads to improved satisfaction and sales. FC CSR I s process transactions accurately and efficiently in a fast-paced environment while simultaneously introducing products and services that meet the customersâ€™ needs and encouraging customers to expand their relationship with Bank of America. This position was previously known as the Teller position within the Financial Center. Duties may include",personalized service,b) Listen carefully and connect with customers to understand their top financial priorities and to uncover products and solutions that will benefit them,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Role Overview / Responsibilities:â€¢Leading",servicing and technical assistance to internal business partners/vendors in order to ensure a timely and smooth implementation processâ€¢Provides a consultative approach to the client throughout the implementation including system education,best practices,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Manages diverse administrative functions usually for a very large",personnel processes,audit/compliance,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Manages diverse administrative functions usually for a very large",personnel processes,audit/compliance,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:At Bank of America",client service representatives (CSRs) go beyond processing transactions â€“ youâ€™ll build relationships with clients to understand their financial goals,identify solutions that will benefit them and connect them to the appropriate teammate who can provide education and solutions to help them live their best financial lives. CSRs work in a financial center and report to the financial center manager.Weâ€™ll help youâ€¢ Get training and one-on-one coaching from your manager who is invested in your success. Youâ€™ll enroll in our Academy for Consumer and Small Business to develop as a client service representative.â€¢ Learn core banking solutions and processes. Understand solutions we provide through Bank of America and how to process transactions such as client deposits and cashing checks accurately.â€¢ Grow your network to maximize effectiveness in meeting client needs. Cultivate relationships with teammates and specialists to assist clients with inquiries and/or problem resolution.â€¢ Provide education to clients. Inform and educate clients on how to conduct simple transactions through convenient banking options,0,0,0,0,0,0,0,0,0,0
