,Bank Name,Job Title,URL (URL of the job posting),FinTech Score,Non-Fintech Score,Admin_Clerical_HR - Sheet1,Audit and Finance,Business Intelligence and Analysis,Data Analytics and Machine Learning,"Marketing , Sales and management",Network and Cyber Security,Softwrae Development,_Investment and risk management__ - Sheet1
0,members of the core team driving it forward and will have a significant impact,,,0,0,0,0,0,0,0,0,0,0
0,in how it‰Ûªs implemented.åÊ  Sr. Specialist Developer->> Consults with internal business groups to provide appropriate application software development services or technical support. Analyzes,workflow,logical processes,0,1,0,0,1,0,0,0,0,0
0,BS (Computer Science,Physics,,0,0,0,0,0,0,0,0,0,0
0,Engineering) ,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,3+ years application development experience,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Good Computer Science fundamentals,,,0,0,0,0,0,0,0,0,0,0
0,multithreading and problem solving skills are required,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to distributed system development in,,,0,0,0,0,0,0,0,0,0,0
0,the Financial Industry /FinTechs is preferred,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to working in an agile environment is,,,0,0,0,0,0,0,0,0,0,0
0,"preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 45172 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901473""	Java Developer	https://jobs.bnymellon.com/jobs/1901473?lang=en-us",,,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	""Provides assistance to the trading desk with client order execution. Liaises with support full allocation",which includes the pricing of securities and management of capital risk to maximize returns. Executes all correspondence requisites with a good understanding of the underlying business and specific client needs. Tracks trades and correct trade problems. Ensure all items are cleared up on a routine basis. Conducts problem analysis and identify opportunities for process improvement. Provides product knowledge and technical assistance as necessary," and works with third party vendors to conduct research that compares BNYM to peers to provide data on pricing and trading strategies. Handles client inquires and run reports as necessary. No direct reports. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in trading or brokerage preferred. Applicable local/regional licenses or certifications as required by the business. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-California-San Francisco Internal Jobcode: 70632 Job: Asset Management Organization: NA Investment Boutiques-HR13428 Requisition Number: 1900875""	Quant Equity Trader	https://jobs.bnymellon.com/jobs/1900875?lang=en-us",0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	""The Jr. Trader/Ops Specialist provides operational support for the Separate Account Trading Desk including trading and portfolio metrics",proxy requirements,client service,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Provides assistance in monitoring and collecting data on the performance of client portfolios. Fields questions about reporting systems and reports that are used and generated by clients.åÊ Conducts research on industry trends to understand key issues.åÊ ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Collects and analyzes data from client portfolios to monitor performance to provide management team with information required to make decisions regarding risk management,and performance as related to their peers.,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Develops technical expertise regarding product offerings in order to act as a resource to clients.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Responsible for compiling reports and validating performance data for various Separately Managed Accounts (SMA) composites and accounts in accordance with department policies & procedures and the Global Investment Performance Standards (GIPS).,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,"åÊ Qualifications Candidate will have 1-3 operations and/or trading experience and a Bachelor's degree or equivalent experience. Must be highly proficient in Microsoft Office applications. Experience with APL a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 04026 Job: Asset Management Organization: IM Infrastructure-HR14826 Requisition Number: 1902235""	Jr Trader/Ops Specialist	https://jobs.bnymellon.com/jobs/1902235?lang=en-us",,,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	"" Team and the new",,,0,0,0,0,0,0,0,0,0,0
0,generation platform ,,,0,0,0,0,0,0,0,0,0,0
0,The Clearance and Collateral Technology (CCT) group is responsible,,,0,0,0,0,0,0,0,0,0,0
0,for building technology to support three of the most critical services of BNY,,,0,0,0,0,0,0,0,0,0,0
0,Mellon - US Government Securities Clearance,,,0,0,0,0,0,0,0,0,0,0
0,Collateral Management. These platforms are responsible for clearing and,,,0,0,0,0,0,0,0,0,0,0
0,settling equity and fixed-income transactions in markets around the globe,,,0,0,0,0,0,0,0,0,0,0
0,managing more than $3 trillion in global collateral.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The group is building solutions to help our clients in,,,0,0,0,0,0,0,0,0,0,0
0,collateral sourcing,,,0,0,0,0,0,0,0,0,0,0
0,transaction processing. Our collateral optimizer was the finalist in the Franz,,,0,0,0,0,0,0,0,0,0,0
0,Edelman Award ‰ÛÒ considered the highest honor in Operations Research. To meet,,,0,0,0,0,0,0,0,0,0,0
0,new market challenges and provide new functionality to our clients,,,0,0,0,0,0,0,0,0,0,0
0,is working on building the next generation collateral platform. The new,,,0,0,0,0,0,0,0,0,0,0
0,platform will be mission-critical,high-availability,and,0,0,0,0,0,0,0,0,0,0
0,will include big-data,,,0,1,0,1,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The work environment is fast-paced with very high levels of,,,0,0,0,0,0,0,0,0,0,0
0,collaboration with global product managers (London & New York). ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Role,,,0,0,0,0,0,0,0,0,0,0
0,We are looking for strong developers who are excited about,,,0,0,0,0,0,0,0,0,0,0
0,building this next generation system. They will have the unique opportunity to,,,0,0,0,0,0,0,0,0,0,0
0,build a sophisticated high performance capital markets system using the latest,,,0,0,0,0,0,0,0,0,0,0
0,technology stack and best software engineering practices. They will become the,,,0,0,0,0,0,0,0,0,0,0
0,members of the core team driving it forward and will have a significant impact,,,0,0,0,0,0,0,0,0,0,0
0,in how it‰Ûªs implemented.åÊ  Principal Developer->> Consults with internal business groups to provide high-level application software development services or technical support. Provides comprehensive senior-level technical consulting to IT management and senior technical staffs. Evaluates compliance with the organization's technology standards. Works with internal business groups on implementation opportunities,and requirements of various applications. Analyzes information and provides recommendations to address and resolve business issues for a specific business group. Guides and consults with IT management and technical staffs regarding use of emerging technologies and associated services. Participates in defining corporate implementation and integration strategies of new technologies. Advocates for innovative,creative technology solutions. Contributes to the achievement of area objectives. Bachelor's degree in computer science engineering or a related discipline,0,0,0,0,0,0,0,0,0,0
0,BS or MS (Computer Science,Physics,,0,0,0,0,0,0,0,0,0,0
0,Engineering) ,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,At least 7 years overall experience,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Strong Computer Science fundamentals,,,0,0,0,0,0,0,0,0,0,0
0,multithreading and problem solving skills are required,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Experience building distributed,,,0,0,0,0,0,0,0,0,0,0
0,high-performance,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Experience with and strong understanding of,,,0,0,0,0,0,0,0,0,0,0
0,capital markets is preferred,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Experience working in a strong agile environment,,,0,0,0,0,0,0,0,0,0,0
0,"is preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 45198 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901477""	Principal Java Developer	https://jobs.bnymellon.com/jobs/1901477?lang=en-us",,,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	""Principal Developer->> Consults with internal business groups to provide high-level application software development services or technical support. Provides comprehensive senior-level technical consulting to IT management and senior technical staffs. Evaluates compliance with the organization's technology standards. Works with internal business groups on implementation opportunities",and requirements of various applications. Analyzes information and provides recommendations to address and resolve business issues for a specific business group. Guides and consults with IT management and technical staffs regarding use of emerging technologies and associated services. Participates in defining corporate implementation and integration strategies of new technologies. Advocates for innovative,creative technology solutions. Contributes to the achievement of area objectives.åÊ Qualifications Bachelor's degree in computer science engineering or a related discipline,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	"" Team and the new",,,0,0,0,0,0,0,0,0,0,0
0,generation platform ,,,0,0,0,0,0,0,0,0,0,0
0,The Clearance and Collateral Technology (CCT) group is responsible,,,0,0,0,0,0,0,0,0,0,0
0,for building technology to support three of the most critical services of BNY,,,0,0,0,0,0,0,0,0,0,0
0,Mellon - US Government Securities Clearance,,,0,0,0,0,0,0,0,0,0,0
0,Collateral Management. These platforms are responsible for clearing and settling,,,0,0,0,0,0,0,0,0,0,0
0,equity and fixed-income transactions in markets around the globe,,,0,0,0,0,0,0,0,0,0,0
0,more than $3 trillion in global collateral.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The group is building solutions to help our clients in,,,0,0,0,0,0,0,0,0,0,0
0,collateral sourcing,,,0,0,0,0,0,0,0,0,0,0
0,transaction processing. Our collateral optimizer was the finalist in the Franz,,,0,0,0,0,0,0,0,0,0,0
0,Edelman Award ‰ÛÒ considered the highest honor in Operations Research. To meet,,,0,0,0,0,0,0,0,0,0,0
0,new market challenges and provide new functionality to our clients,,,0,0,0,0,0,0,0,0,0,0
0,is working on building the next generation collateral platform. The new,,,0,0,0,0,0,0,0,0,0,0
0,platform will be mission-critical,high-availability,and,0,0,0,0,0,0,0,0,0,0
0,will include big-data,,,0,1,0,1,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The work environment is fast-paced with very high levels of,,,0,0,0,0,0,0,0,0,0,0
0,collaboration with global product managers (London & New York). ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Role,,,0,0,0,0,0,0,0,0,0,0
0,We are looking for strong developers who are excited about,,,0,0,0,0,0,0,0,0,0,0
0,building this next generation system. They will have the unique opportunity to,,,0,0,0,0,0,0,0,0,0,0
0,build a sophisticated high performance capital markets system using the latest,,,0,0,0,0,0,0,0,0,0,0
0,technology stack and best software engineering practices. They will become the,,,0,0,0,0,0,0,0,0,0,0
0,members of the core team driving it forward and will have a significant impact,,,0,0,0,0,0,0,0,0,0,0
0,in how it‰Ûªs implemented.åÊ  Sr. Specialist Developer->> Consults with internal business groups to provide appropriate application software development services or technical support. Analyzes,workflow,logical processes,0,1,0,0,1,0,0,0,0,0
0,BS (Computer Science,Physics,,0,0,0,0,0,0,0,0,0,0
0,Engineering) ,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,3+ years application development experience,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Good CS fundamentals,multithreading,,0,0,0,0,0,0,0,0,0,0
0,and problem solving skills are required,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to distributed system development in,,,0,0,0,0,0,0,0,0,0,0
0,the Financial Industry /FinTechs is preferred,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to working in an agile environment is,,,0,0,0,0,0,0,0,0,0,0
0,"preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 45172 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901472""	Java Developer	https://jobs.bnymellon.com/jobs/1901472?lang=en-us",,,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	"" Team and the new",,,0,0,0,0,0,0,0,0,0,0
0,generation platform ,,,0,0,0,0,0,0,0,0,0,0
0,The Clearance and Collateral Technology (CCT) group is responsible,,,0,0,0,0,0,0,0,0,0,0
0,for building technology to support three of the most critical services of BNY,,,0,0,0,0,0,0,0,0,0,0
0,Mellon - US Government Securities Clearance,,,0,0,0,0,0,0,0,0,0,0
0,Collateral Management. These platforms are responsible for clearing and settling,,,0,0,0,0,0,0,0,0,0,0
0,equity and fixed-income transactions in markets around the globe,,,0,0,0,0,0,0,0,0,0,0
0,more than $3 trillion in global collateral.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The group is building solutions to help our clients in,,,0,0,0,0,0,0,0,0,0,0
0,collateral sourcing,,,0,0,0,0,0,0,0,0,0,0
0,transaction processing. Our collateral optimizer was the finalist in the Franz,,,0,0,0,0,0,0,0,0,0,0
0,Edelman Award ‰ÛÒ considered the highest honor in Operations Research. To meet,,,0,0,0,0,0,0,0,0,0,0
0,new market challenges and provide new functionality to our clients,,,0,0,0,0,0,0,0,0,0,0
0,is working on building the next generation collateral platform. The new,,,0,0,0,0,0,0,0,0,0,0
0,platform will be mission-critical,high-availability,and,0,0,0,0,0,0,0,0,0,0
0,will include big-data,,,0,1,0,1,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The work environment is fast-paced with very high levels of,,,0,0,0,0,0,0,0,0,0,0
0,collaboration with global product managers (London & New York). ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Role,,,0,0,0,0,0,0,0,0,0,0
0,We are looking for strong developers who are excited about,,,0,0,0,0,0,0,0,0,0,0
0,building this next generation system. They will have the unique opportunity to,,,0,0,0,0,0,0,0,0,0,0
0,build a sophisticated high performance capital markets system using the latest,,,0,0,0,0,0,0,0,0,0,0
0,technology stack and best software engineering practices. They will become the,,,0,0,0,0,0,0,0,0,0,0
0,members of the core team driving it forward and will have a significant impact,,,0,0,0,0,0,0,0,0,0,0
0,in how it‰Ûªs implemented.åÊ  Sr. Specialist Developer->> Consults with internal business groups to provide appropriate application software development services or technical support. Analyzes,workflow,logical processes,0,1,0,0,1,0,0,0,0,0
0,BS (Computer Science,Physics,,0,0,0,0,0,0,0,0,0,0
0,Engineering) ,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,3+ years application development experience,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Good Computer Science fundamentals,,,0,0,0,0,0,0,0,0,0,0
0,multithreading and problem solving skills are required,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to distributed system development in,,,0,0,0,0,0,0,0,0,0,0
0,the Financial Industry /FinTechs is preferred,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊåÊ,,,0,0,0,0,0,0,0,0,0,0
0,Exposure to working in an agile environment is,,,0,0,0,0,0,0,0,0,0,0
0,"preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 45172 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901474""	Java Developer	https://jobs.bnymellon.com/jobs/1901474?lang=en-us",,,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	"" Team and the new generation platform ",,,0,0,0,0,0,0,0,0,0,0
0,The Clearance,,,0,0,0,0,0,0,0,0,0,0
0,and Collateral Technology (CCT) group is responsible for building technology to,,,0,0,0,0,0,0,0,0,0,0
0,support three of the most critical services of BNY Mellon - US Government,,,0,0,0,0,0,0,0,0,0,0
0,Securities Clearance,,,0,0,0,0,0,0,0,0,0,0
0,platforms are responsible for clearing and settling equity and fixed-income,,,0,0,0,0,0,0,0,0,0,0
0,transactions in markets around the globe,,,0,0,0,0,0,0,0,0,0,0
0,global collateral.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The group is,,,0,0,0,0,0,0,0,0,0,0
0,building solutions to help our clients in collateral sourcing,,,0,0,0,0,0,0,0,0,0,0
0,optimization and high-performance real-time transaction processing. Our,,,0,0,0,0,0,0,0,0,0,0
0,collateral optimizer was the finalist in the Franz Edelman Award ‰ÛÒ considered,,,0,0,0,0,0,0,0,0,0,0
0,the highest honor in Operations Research. To meet new market challenges and,,,0,0,0,0,0,0,0,0,0,0
0,provide new functionality to our clients,,,0,0,0,0,0,0,0,0,0,0
0,next generation collateral platform. The new platform will be mission-critical,,,0,0,0,0,0,0,0,0,0,0
0,high-performance,and will include big-data,,0,0,0,0,0,0,0,0,0,0
0,machine-learning analytics capabilities. ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The work,,,0,0,0,0,0,0,0,0,0,0
0,environment is fast-paced with very high levels of collaboration with global product,,,0,0,0,0,0,0,0,0,0,0
0,managers (London & New York). ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Role,,,0,0,0,0,0,0,0,0,0,0
0,We are looking for strong Quant,,,0,0,0,0,0,0,0,0,0,0
0,who are excited about building this next generation system. They will have the,,,0,0,0,0,0,0,0,0,0,0
0,unique opportunity to build a sophisticated high performance capital markets,,,0,0,0,0,0,0,0,0,0,0
0,system using the latest technology stack and best software engineering,,,0,0,0,0,0,0,0,0,0,0
0,practices. They will become the members of the core team driving it forward and,,,0,0,0,0,0,0,0,0,0,0
0,will have a significant impact in how it‰Ûªs implemented.åÊ  Sr. Principal Developer->> Consults with internal business groups to provide highly advanced application software development services or technical support. Consults to IT and business managers on issues,creative technology solutions. Contributes to the achievement of Application Development objectives. Bachelor's degree in computer science engineering or a related discipline,or equivalent work experience required,1,0,0,0,0,0,0,0,1,0
0,Engineering10+ years overall experienceStrong experience in developing optimization,,,0,0,0,0,0,0,0,0,0,0
0,solution for large & complex business problem consisting of several million,,,0,0,0,0,0,0,0,0,0,0
0,variables with several thousand constraintsExperience in Sparse matrix,,,0,0,0,0,0,0,0,0,0,0
0,algorithm & Mixed Inter Linear ProgrammingExperience in building optimization solution,,,0,0,0,0,0,0,0,0,0,0
0,using 3rd party linear solver such as NAG,GUROBI etc.Hands-on experience in one of the programming,,0,0,0,0,0,0,0,0,0,0
0,language such as C,JavaExperience in clustering algorithms,detecting,0,0,0,0,0,0,0,0,0,0
0,data anomaly,,,0,1,0,0,1,0,0,0,0,0
0,high-performance,,,0,0,0,0,0,0,0,0,0,0
0,desired,,,0,0,0,0,0,0,0,0,0,0
